"plantID","treatment","n_focal_obs","max_flowering_heads","mean_flowering_heads","est_mean_daily_flw_presentation","peak_flw_head","peak_flw_est","id","start","end","duration","firstDay","lastDay","pop","syn_aug","syn_o","syn_aug_sp","syn_o_sp","added"
"10B","B",10,10,2.9,63.6,207,207,"10B",6,16,11,2018-07-16,2018-07-26,"pop1",0.473887814313346,0.365857416467554,0.503030303030303,0.411275995246583,"original"
"10UB","UB",9,3,0.888888888888889,15.6666666666667,193,192,"10UB",1,6,6,2018-07-11,2018-07-16,"pop4",0.326086956521739,0.172126786257221,0.233333333333333,0.105833333333333,"original"
"11B","B",10,3,1.1,15.6,204,197,"11B",6,16,11,2018-07-16,2018-07-26,"pop2",0.473887814313346,0.365857416467554,0.466666666666667,0.325356506238859,"original"
"11UB","UB",10,2,0.6,4.5,202,202,"11UB",6,16,11,2018-07-16,2018-07-26,"pop5",0.480237154150198,0.352924223048903,0.393939393939394,0.294442959001783,"original"
"12B","B",10,15,4.7,100.96,202,202,"12B",1,16,16,2018-07-11,2018-07-26,"pop2",0.356382978723404,0.312113152804642,0.3625,0.309090909090909,"original"
"12UB","UB",10,2,0.7,11.4,197,193,"12UB",2,16,15,2018-07-12,2018-07-26,"pop5",0.433333333333333,0.368144522335026,0.36,0.312354648275701,"original"
"13B","B",10,2,0.6,7.9,202,202,"13B",11,16,6,2018-07-21,2018-07-26,"pop2",0.546099290780142,0.266197329995828,0.566666666666667,0.249185977421272,"original"
"13UB","UB",10,1,0.2,10.8,207,211,"13UB",16,20,5,2018-07-26,2018-07-30,"pop5",0.539130434782609,0.242984826229543,0.493333333333333,0.243629762050815,"original"
"14B","B",10,4,1.6,20.5,207,204,"14B",11,22,12,2018-07-21,2018-08-01,"pop2",0.562056737588652,0.468697072639501,0.55,0.428609625668449,"original"
"14UB","UB",10,5,1.2,21.8,207,207,"14UB",11,22,12,2018-07-21,2018-08-01,"pop5",0.5,0.385281938862502,0.444444444444444,0.357241320770733,"original"
"15B","B",10,2,0.5,3.9,202,202,"15B",8,13,6,2018-07-18,2018-07-23,"pop2",0.50354609929078,0.257743726861374,0.488888888888889,0.205852644087938,"original"
"15UB","UB",10,12,3,36.6,207,207,"15UB",6,16,11,2018-07-16,2018-07-26,"pop5",0.480237154150198,0.352924223048903,0.393939393939394,0.294442959001783,"original"
"16B","B",10,10,4,56.6,211,207,"16B",1,22,22,2018-07-11,2018-08-01,"pop2",0.416827852998066,0.410772099859265,0.409090909090909,0.404040404040404,"original"
"16UB","UB",10,3,0.7,7,197,197,"16UB",1,8,8,2018-07-11,2018-07-18,"pop5",0.353260869565217,0.218890057205275,0.3,0.199242424242424,"original"
"17B","B",10,1,0.6,5.7,202,202,"17B",8,22,15,2018-07-18,2018-08-01,"pop2",0.536170212765957,0.488133706093656,0.52,0.45078431372549,"original"
"17UB","UB",10,3,0.7,14.1,204,207,"17UB",8,16,9,2018-07-18,2018-07-26,"pop5",0.492753623188406,0.318467753474147,0.4,0.25501036001036,"original"
"18B","B",10,1,0.1,0.6,202,202,"18B",11,11,1,2018-07-21,2018-07-21,"pop2",0.574468085106383,0.0545639435658209,0.6,0.0535680332739156,"original"
"18UB","UB",9,2,0.666666666666667,16.1111111111111,197,192,"18UB",1,6,6,2018-07-11,2018-07-16,"pop5",0.326086956521739,0.172126786257221,0.277777777777778,0.147348484848485,"original"
"19B","B",10,3,1.2,10.1,207,207,"19B",6,22,17,2018-07-16,2018-08-01,"pop2",0.51063829787234,0.484804932239225,0.490196078431373,0.447415329768271,"original"
"19UB","UB",10,12,6.4,94.9,202,193,"19UB",1,22,22,2018-07-11,2018-08-01,"pop5",0.436758893280632,0.429805299370517,0.375757575757576,0.370145903479237,"original"
"1B","B",10,4,1.3,22,202,202,"1B",6,13,8,2018-07-16,2018-07-23,"pop1",0.457446808510638,0.294977623544582,0.55,0.40194890077243,"original"
"1UB","UB",11,17,5.18181818181818,88.5636363636364,207,207,"1UB",6,20,15,2018-07-16,2018-07-30,"pop4",0.488405797101449,0.414031212651485,0.435555555555556,0.39281045751634,"original"
"20B","B",10,15,4.3,65.42,202,202,"20B",1,16,16,2018-07-11,2018-07-26,"pop2",0.356382978723404,0.312113152804642,0.3625,0.309090909090909,"original"
"20UB","UB",10,6,1.7,29.8,197,193,"20UB",1,8,8,2018-07-11,2018-07-18,"pop5",0.353260869565217,0.218890057205275,0.3,0.199242424242424,"original"
"21B","B",10,1,0.3,3.6,202,202,"21B",11,16,6,2018-07-21,2018-07-26,"pop3",0.546099290780142,0.266197329995828,0.533333333333333,0.25969696969697,"original"
"21UB","UB",10,3,1,22.4,197,192,"21UB",1,8,8,2018-07-11,2018-07-18,"pop6",0.353260869565217,0.218890057205275,0.410714285714286,0.205736161986162,"original"
"22B","B",10,2,0.6,11.4,202,202,"22B",8,13,6,2018-07-18,2018-07-23,"pop3",0.50354609929078,0.257743726861374,0.4,0.18038073038073,"original"
